Date,accrualMethod,count
2025-03-14,Засоби телефонного зв’язку,129
2025-03-15,Засоби електронного зв’язку,2
2025-03-15,Засоби телефонного зв’язку,78
2025-03-16,Засоби телефонного зв’язку,86
2025-03-17,Засоби телефонного зв’язку,150
2025-03-18,Засоби електронного зв’язку,3
2025-03-18,Засоби телефонного зв’язку,118
2025-03-19,Засоби телефонного зв’язку,84
2025-03-20,Засоби електронного зв’язку,2
2025-03-20,Засоби телефонного зв’язку,118
2025-03-21,Засоби телефонного зв’язку,114
2025-03-22,Засоби електронного зв’язку,1
2025-03-22,Засоби телефонного зв’язку,81
2025-03-23,Засоби телефонного зв’язку,98
2025-03-23,Засоби електронного зв’язку,1
2025-03-24,Засоби електронного зв’язку,1
2025-03-24,Засоби телефонного зв’язку,123
2025-03-25,Засоби телефонного зв’язку,95
2025-03-26,Засоби телефонного зв’язку,130
2025-03-27,Засоби електронного зв’язку,4
2025-03-27,Засоби телефонного зв’язку,94
2025-03-28,Засоби телефонного зв’язку,126
2025-03-29,Засоби телефонного зв’язку,60
2025-03-30,Засоби телефонного зв’язку,83
2025-03-30,Засоби електронного зв’язку,1
2025-03-31,Засоби телефонного зв’язку,116
2025-03-31,Засоби електронного зв’язку,4
2025-04-01,Засоби телефонного зв’язку,145
2025-04-02,Засоби телефонного зв’язку,115
2025-04-03,Засоби електронного зв’язку,1
2025-04-03,Засоби телефонного зв’язку,109
2025-04-04,Засоби електронного зв’язку,1
2025-04-04,Засоби телефонного зв’язку,117
2025-04-05,Засоби телефонного зв’язку,91
2025-04-06,Засоби телефонного зв’язку,65
2025-04-07,Засоби телефонного зв’язку,160
2025-04-08,Засоби телефонного зв’язку,125
2025-04-09,Засоби телефонного зв’язку,121
2025-04-10,Засоби телефонного зв’язку,100
2025-04-11,Засоби телефонного зв’язку,79
2025-04-12,Засоби електронного зв’язку,1
2025-04-12,Засоби телефонного зв’язку,42
2025-04-13,Засоби телефонного зв’язку,91
2025-04-14,Засоби телефонного зв’язку,160
2025-04-15,Засоби електронного зв’язку,1
2025-04-15,Засоби телефонного зв’язку,166
2025-04-16,Засоби електронного зв’язку,2
2025-04-16,Засоби телефонного зв’язку,139
2025-04-17,Засоби телефонного зв’язку,167
2025-04-18,Засоби електронного зв’язку,1
2025-04-18,Засоби телефонного зв’язку,122
2025-04-19,Засоби телефонного зв’язку,90
2025-04-20,Засоби електронного зв’язку,1
2025-04-20,Засоби телефонного зв’язку,69
2025-04-21,Засоби телефонного зв’язку,84
2025-04-22,Засоби електронного зв’язку,1
2025-04-22,Засоби телефонного зв’язку,134
2025-04-23,Засоби електронного зв’язку,1
2025-04-23,Засоби телефонного зв’язку,128
2025-04-24,Засоби телефонного зв’язку,128
2025-04-25,Засоби телефонного зв’язку,179
2025-04-26,Засоби електронного зв’язку,1
2025-04-26,Засоби телефонного зв’язку,89
2025-04-27,Засоби електронного зв’язку,2
2025-04-27,Засоби телефонного зв’язку,83
2025-04-28,Засоби електронного зв’язку,3
2025-04-28,Засоби телефонного зв’язку,111
2025-04-29,Засоби телефонного зв’язку,93
2025-04-30,Засоби електронного зв’язку,1
2025-04-30,Засоби телефонного зв’язку,145
2025-05-01,Засоби телефонного зв’язку,135
2025-05-02,Засоби телефонного зв’язку,117
2025-05-03,Засоби електронного зв’язку,1
2025-05-03,Засоби телефонного зв’язку,77
2025-05-04,Засоби телефонного зв’язку,131
2025-05-05,Засоби телефонного зв’язку,141
2025-05-06,Засоби електронного зв’язку,3
2025-05-06,Засоби телефонного зв’язку,98
2025-05-07,Засоби телефонного зв’язку,136
2025-05-08,Засоби телефонного зв’язку,95
2025-05-09,Засоби телефонного зв’язку,130
2025-05-09,Засоби електронного зв’язку,1
2025-05-10,Засоби електронного зв’язку,2
2025-05-10,Засоби телефонного зв’язку,90
2025-05-11,Засоби електронного зв’язку,1
2025-05-11,Засоби телефонного зв’язку,77
2025-05-12,Засоби електронного зв’язку,1
2025-05-12,Засоби телефонного зв’язку,125
2025-05-13,Засоби електронного зв’язку,1
2025-05-13,Засоби телефонного зв’язку,112
2025-05-14,Засоби телефонного зв’язку,101
2025-05-14,Засоби електронного зв’язку,2
2025-05-15,Засоби телефонного зв’язку,117
2025-05-16,Засоби телефонного зв’язку,106
2025-05-17,Засоби електронного зв’язку,3
2025-05-17,Засоби телефонного зв’язку,63
2025-05-18,Засоби телефонного зв’язку,69
2025-05-19,Засоби електронного зв’язку,4
2025-05-19,Засоби телефонного зв’язку,133
2025-05-20,Засоби телефонного зв’язку,122
2025-05-21,Засоби телефонного зв’язку,120
2025-05-21,Засоби електронного зв’язку,2
2025-05-22,Засоби електронного зв’язку,3
2025-05-22,Засоби телефонного зв’язку,88
2025-05-23,Засоби телефонного зв’язку,117
2025-05-24,Засоби електронного зв’язку,1
2025-05-24,Засоби телефонного зв’язку,65
2025-05-25,Засоби електронного зв’язку,1
2025-05-25,Засоби телефонного зв’язку,116
2025-05-26,Засоби телефонного зв’язку,138
2025-05-27,Засоби телефонного зв’язку,303
2025-05-28,Засоби телефонного зв’язку,237
2025-05-29,Засоби телефонного зв’язку,149
2025-05-30,Засоби телефонного зв’язку,131
2025-05-30,Засоби електронного зв’язку,5
2025-05-31,Засоби електронного зв’язку,1
2025-05-31,Засоби телефонного зв’язку,99
2025-06-01,Засоби телефонного зв’язку,79
2025-06-02,Засоби телефонного зв’язку,168
2025-06-03,Засоби електронного зв’язку,2
2025-06-03,Засоби телефонного зв’язку,184
2025-06-04,Засоби телефонного зв’язку,149
2025-06-05,Засоби електронного зв’язку,1
2025-06-05,Засоби телефонного зв’язку,191
2025-06-06,Засоби телефонного зв’язку,210
2025-06-06,Засоби електронного зв’язку,4
2025-06-07,Засоби телефонного зв’язку,110
2025-06-08,Засоби телефонного зв’язку,113
2025-06-09,Засоби телефонного зв’язку,199
2025-06-10,Засоби телефонного зв’язку,178
2025-06-11,Засоби електронного зв’язку,1
2025-06-11,Засоби телефонного зв’язку,131
2025-06-12,Засоби електронного зв’язку,1
2025-06-12,Засоби телефонного зв’язку,119
2025-06-13,Засоби телефонного зв’язку,153
2025-06-14,Засоби телефонного зв’язку,88
2025-06-15,Засоби телефонного зв’язку,87
2025-06-16,Засоби електронного зв’язку,4
2025-06-16,Засоби телефонного зв’язку,162
2025-06-17,Засоби телефонного зв’язку,149
2025-06-18,Засоби електронного зв’язку,1
2025-06-18,Засоби телефонного зв’язку,127
2025-06-19,Засоби електронного зв’язку,1
2025-06-19,Засоби телефонного зв’язку,109
2025-06-20,Засоби телефонного зв’язку,140
2025-06-20,Засоби електронного зв’язку,1
2025-06-21,Засоби телефонного зв’язку,95
2025-06-22,Засоби телефонного зв’язку,110
2025-06-23,Засоби електронного зв’язку,2
2025-06-23,Засоби телефонного зв’язку,137
2025-06-24,Засоби електронного зв’язку,2
2025-06-24,Засоби телефонного зв’язку,145
2025-06-25,Засоби електронного зв’язку,4
2025-06-25,Засоби телефонного зв’язку,171
2025-06-26,Засоби електронного зв’язку,2
2025-06-26,Засоби телефонного зв’язку,146
2025-06-27,Засоби електронного зв’язку,2
2025-06-27,Засоби телефонного зв’язку,124
2025-06-28,Засоби телефонного зв’язку,106
2025-06-28,Засоби електронного зв’язку,1
2025-06-29,Засоби електронного зв’язку,1
2025-06-29,Засоби телефонного зв’язку,83
2025-06-30,Засоби електронного зв’язку,2
2025-06-30,Засоби телефонного зв’язку,164
2025-07-01,Засоби електронного зв’язку,1
2025-07-01,Засоби телефонного зв’язку,163
2025-07-02,Засоби телефонного зв’язку,159
2025-07-03,Засоби телефонного зв’язку,164
2025-07-04,Засоби телефонного зв’язку,147
2025-07-04,Засоби електронного зв’язку,2
2025-07-05,Засоби електронного зв’язку,1
2025-07-05,Засоби телефонного зв’язку,72
2025-07-06,Засоби телефонного зв’язку,73
2025-07-07,Засоби телефонного зв’язку,171
2025-07-08,Засоби електронного зв’язку,2
2025-07-08,Засоби телефонного зв’язку,172
2025-07-09,Засоби електронного зв’язку,1
2025-07-09,Засоби телефонного зв’язку,155
2025-07-10,Засоби електронного зв’язку,1
2025-07-10,Засоби телефонного зв’язку,188
2025-07-11,Засоби телефонного зв’язку,132
2025-07-12,Засоби телефонного зв’язку,106
2025-07-13,Засоби електронного зв’язку,2
2025-07-13,Засоби телефонного зв’язку,67
2025-07-14,Засоби електронного зв’язку,2
2025-07-14,Засоби телефонного зв’язку,195
2025-07-15,Засоби телефонного зв’язку,134
2025-07-16,Засоби телефонного зв’язку,183
2025-07-17,Засоби електронного зв’язку,3
2025-07-17,Засоби телефонного зв’язку,146
2025-07-18,Засоби телефонного зв’язку,190
2025-07-19,Засоби телефонного зв’язку,71
2025-07-20,Засоби електронного зв’язку,1
2025-07-20,Засоби телефонного зв’язку,68
2025-07-21,Засоби електронного зв’язку,3
2025-07-21,Засоби телефонного зв’язку,137
2025-07-22,Засоби електронного зв’язку,2
2025-07-22,Засоби телефонного зв’язку,145
2025-07-23,Засоби електронного зв’язку,1
2025-07-23,Засоби телефонного зв’язку,142
2025-07-24,Засоби електронного зв’язку,3
2025-07-24,Засоби телефонного зв’язку,131
2025-07-25,Засоби телефонного зв’язку,143
2025-07-25,Засоби електронного зв’язку,1
2025-07-26,Засоби електронного зв’язку,1
2025-07-26,Засоби телефонного зв’язку,99
2025-07-27,Засоби електронного зв’язку,1
2025-07-27,Засоби телефонного зв’язку,108
2025-07-28,Засоби електронного зв’язку,4
2025-07-28,Засоби телефонного зв’язку,293
2025-07-29,Засоби телефонного зв’язку,189
2025-07-30,Засоби електронного зв’язку,1
2025-07-30,Засоби телефонного зв’язку,176
2025-07-31,Засоби телефонного зв’язку,130
2025-07-31,Засоби електронного зв’язку,2
2025-08-01,Засоби електронного зв’язку,2
2025-08-01,Засоби телефонного зв’язку,129
2025-08-02,Засоби телефонного зв’язку,75
2025-08-03,Засоби телефонного зв’язку,69
2025-08-04,Засоби електронного зв’язку,3
2025-08-04,Засоби телефонного зв’язку,136
2025-08-05,Засоби електронного зв’язку,3
2025-08-05,Засоби телефонного зв’язку,144
2025-08-06,Засоби телефонного зв’язку,226
2025-08-06,Засоби електронного зв’язку,2
2025-08-07,Засоби телефонного зв’язку,189
2025-08-07,Засоби електронного зв’язку,2
2025-08-08,Засоби електронного зв’язку,2
2025-08-08,Засоби телефонного зв’язку,124
2025-08-09,Засоби електронного зв’язку,3
2025-08-09,Засоби телефонного зв’язку,74
2025-08-10,Засоби телефонного зв’язку,67
2025-08-11,Засоби телефонного зв’язку,169
2025-08-12,Засоби електронного зв’язку,1
2025-08-12,Засоби телефонного зв’язку,149
2025-08-13,Засоби телефонного зв’язку,165
2025-08-14,Засоби телефонного зв’язку,137
2025-08-15,Засоби електронного зв’язку,1
2025-08-15,Засоби телефонного зв’язку,154
2025-08-16,Засоби телефонного зв’язку,86
2025-08-17,Засоби електронного зв’язку,3
2025-08-17,Засоби телефонного зв’язку,141
2025-08-18,Засоби електронного зв’язку,1
2025-08-18,Засоби телефонного зв’язку,124
2025-08-19,Засоби електронного зв’язку,1
2025-08-19,Засоби телефонного зв’язку,138
2025-08-20,Засоби телефонного зв’язку,151
2025-08-21,Засоби телефонного зв’язку,123
2025-08-22,Засоби телефонного зв’язку,132
2025-08-23,Засоби телефонного зв’язку,68
2025-08-24,Засоби телефонного зв’язку,45
2025-08-25,Засоби телефонного зв’язку,119
2025-08-26,Засоби електронного зв’язку,1
2025-08-26,Засоби телефонного зв’язку,96
2025-08-27,Засоби електронного зв’язку,3
2025-08-27,Засоби телефонного зв’язку,115
2025-08-28,Засоби телефонного зв’язку,168
2025-08-29,Засоби електронного зв’язку,1
2025-08-29,Засоби телефонного зв’язку,156
2025-08-30,Засоби телефонного зв’язку,89
2025-08-30,Засоби електронного зв’язку,1
2025-08-31,Засоби телефонного зв’язку,81
2025-09-01,Засоби телефонного зв’язку,165
2025-09-02,Засоби електронного зв’язку,1
2025-09-02,Засоби телефонного зв’язку,128
2025-09-03,Засоби телефонного зв’язку,122
2025-09-04,Засоби телефонного зв’язку,144
2025-09-05,Засоби електронного зв’язку,1
2025-09-05,Засоби телефонного зв’язку,139
2025-09-06,Засоби телефонного зв’язку,76
2025-09-06,Засоби електронного зв’язку,2
2025-09-07,Засоби телефонного зв’язку,73
2025-09-07,Засоби електронного зв’язку,1
2025-09-08,Засоби електронного зв’язку,1
2025-09-08,Засоби телефонного зв’язку,170
2025-09-09,Засоби електронного зв’язку,1
2025-09-09,Засоби телефонного зв’язку,111
2025-09-10,Засоби електронного зв’язку,2
2025-09-10,Засоби телефонного зв’язку,192
2025-09-11,Засоби телефонного зв’язку,122
2025-09-12,Засоби електронного зв’язку,1
2025-09-12,Засоби телефонного зв’язку,131
2025-09-13,Засоби телефонного зв’язку,68
2025-09-14,Засоби телефонного зв’язку,55
2025-09-14,Засоби електронного зв’язку,1
2025-09-15,Засоби електронного зв’язку,1
2025-09-15,Засоби телефонного зв’язку,123
2025-09-16,Засоби електронного зв’язку,1
2025-09-16,Засоби телефонного зв’язку,157
2025-09-17,Засоби електронного зв’язку,1
2025-09-17,Засоби телефонного зв’язку,125
2025-09-18,Засоби електронного зв’язку,1
2025-09-18,Засоби телефонного зв’язку,152
2025-09-19,Засоби телефонного зв’язку,158
2025-09-19,Засоби електронного зв’язку,1
2025-09-20,Засоби телефонного зв’язку,86
2025-09-21,Засоби електронного зв’язку,2
2025-09-21,Засоби телефонного зв’язку,43
2025-09-22,Засоби електронного зв’язку,1
2025-09-22,Засоби телефонного зв’язку,153
2025-09-23,Засоби електронного зв’язку,2
2025-09-23,Засоби телефонного зв’язку,139
2025-09-24,Засоби телефонного зв’язку,147
2025-09-25,Засоби телефонного зв’язку,127
2025-09-26,Засоби телефонного зв’язку,114
2025-09-27,Засоби телефонного зв’язку,76
2025-09-28,Засоби телефонного зв’язку,86
2025-09-29,Засоби телефонного зв’язку,137
2025-09-30,Засоби електронного зв’язку,1
2025-09-30,Засоби телефонного зв’язку,133
2025-10-01,Засоби телефонного зв’язку,143
2025-10-02,Засоби телефонного зв’язку,163
2025-10-03,Засоби електронного зв’язку,1
2025-10-03,Засоби телефонного зв’язку,172
2025-10-04,Засоби телефонного зв’язку,81
2025-10-04,Засоби електронного зв’язку,3
2025-10-05,Засоби телефонного зв’язку,90
2025-10-06,Засоби електронного зв’язку,2
2025-10-06,Засоби телефонного зв’язку,193
2025-10-07,Засоби електронного зв’язку,1
2025-10-07,Засоби телефонного зв’язку,183
2025-10-08,Засоби телефонного зв’язку,154
2025-10-09,Засоби електронного зв’язку,1
2025-10-09,Засоби телефонного зв’язку,149
2025-10-10,Засоби телефонного зв’язку,140
2025-10-11,Засоби телефонного зв’язку,85
2025-10-11,Засоби електронного зв’язку,1
2025-10-12,Засоби електронного зв’язку,1
2025-10-12,Засоби телефонного зв’язку,82
2025-10-13,Засоби електронного зв’язку,1
2025-10-13,Засоби телефонного зв’язку,134
2025-10-14,Засоби телефонного зв’язку,116
2025-10-15,Засоби телефонного зв’язку,133
2025-10-16,Засоби телефонного зв’язку,176
2025-10-17,Засоби телефонного зв’язку,99
2025-10-17,Засоби електронного зв’язку,2
2025-10-18,Засоби телефонного зв’язку,106
2025-10-19,Засоби телефонного зв’язку,83
2025-10-19,Засоби електронного зв’язку,1
2025-10-20,Засоби електронного зв’язку,2
2025-10-20,Засоби телефонного зв’язку,188
2025-10-21,Засоби електронного зв’язку,2
2025-10-21,Засоби телефонного зв’язку,131
2025-10-22,Засоби електронного зв’язку,2
2025-10-22,Засоби телефонного зв’язку,147
2025-10-23,Засоби телефонного зв’язку,102
2025-10-24,Засоби електронного зв’язку,3
2025-10-24,Засоби телефонного зв’язку,170
2025-10-25,Засоби телефонного зв’язку,103
2025-10-26,Засоби телефонного зв’язку,91
2025-10-27,Засоби телефонного зв’язку,118
2025-10-28,Засоби телефонного зв’язку,126
2025-10-29,Засоби електронного зв’язку,2
2025-10-29,Засоби телефонного зв’язку,123
2025-10-30,Засоби телефонного зв’язку,217
2025-10-31,Засоби електронного зв’язку,3
2025-10-31,Засоби телефонного зв’язку,207
2025-11-01,Засоби телефонного зв’язку,131
2025-11-02,Засоби електронного зв’язку,1
2025-11-02,Засоби телефонного зв’язку,111
2025-11-03,Засоби телефонного зв’язку,217
2025-11-03,Засоби електронного зв’язку,2
2025-11-04,Засоби електронного зв’язку,2
2025-11-04,Засоби телефонного зв’язку,221
2025-11-05,Засоби електронного зв’язку,3
2025-11-05,Засоби телефонного зв’язку,254
2025-11-06,Засоби електронного зв’язку,1
2025-11-06,Засоби телефонного зв’язку,185
2025-11-07,Засоби телефонного зв’язку,172
2025-11-08,Засоби електронного зв’язку,1
2025-11-08,Засоби телефонного зв’язку,148
2025-11-09,Засоби телефонного зв’язку,202
2025-11-09,Засоби електронного зв’язку,1
2025-11-10,Засоби телефонного зв’язку,221
2025-11-11,Засоби телефонного зв’язку,195
2025-11-12,Засоби телефонного зв’язку,169
2025-11-13,Засоби електронного зв’язку,3
2025-11-13,Засоби телефонного зв’язку,219
2025-11-14,Засоби телефонного зв’язку,138
2025-11-15,Засоби телефонного зв’язку,125
2025-11-16,Засоби електронного зв’язку,4
2025-11-16,Засоби телефонного зв’язку,83
2025-11-17,Засоби телефонного зв’язку,203
2025-11-17,Засоби електронного зв’язку,7
2025-11-18,Засоби електронного зв’язку,1
2025-11-18,Засоби телефонного зв’язку,189
2025-11-19,Засоби електронного зв’язку,1
2025-11-19,Засоби телефонного зв’язку,167
2025-11-20,Засоби електронного зв’язку,1
2025-11-20,Засоби телефонного зв’язку,179
2025-11-21,Засоби електронного зв’язку,1
2025-11-21,Засоби телефонного зв’язку,257
2025-11-22,Засоби телефонного зв’язку,109
2025-11-22,Засоби електронного зв’язку,1
2025-11-23,Засоби електронного зв’язку,2
2025-11-23,Засоби телефонного зв’язку,128
2025-11-24,Засоби телефонного зв’язку,180
2025-11-25,Засоби електронного зв’язку,3
2025-11-25,Засоби телефонного зв’язку,193
2025-11-26,Засоби електронного зв’язку,1
2025-11-26,Засоби телефонного зв’язку,151
2025-11-27,Засоби електронного зв’язку,2
2025-11-27,Засоби телефонного зв’язку,158
2025-11-28,Засоби телефонного зв’язку,104
2025-11-28,Засоби електронного зв’язку,1
2025-11-29,Засоби електронного зв’язку,1
2025-11-29,Засоби телефонного зв’язку,107
2025-11-30,Засоби телефонного зв’язку,98
2025-12-01,Засоби електронного зв’язку,1
2025-12-01,Засоби телефонного зв’язку,153
2025-12-02,Засоби електронного зв’язку,3
2025-12-02,Засоби телефонного зв’язку,116
2025-12-03,Засоби телефонного зв’язку,151
2025-12-03,Засоби електронного зв’язку,3
2025-12-04,Засоби телефонного зв’язку,119
2025-12-04,Засоби електронного зв’язку,1
2025-12-05,Засоби телефонного зв’язку,103
2025-12-06,Засоби телефонного зв’язку,87
2025-12-07,Засоби телефонного зв’язку,98
2025-12-08,Засоби електронного зв’язку,2
2025-12-08,Засоби телефонного зв’язку,190
2025-12-09,Засоби електронного зв’язку,1
2025-12-09,Засоби телефонного зв’язку,181
2025-12-10,Засоби електронного зв’язку,1
2025-12-10,Засоби телефонного зв’язку,119
2025-12-11,Засоби електронного зв’язку,2
2025-12-11,Засоби телефонного зв’язку,153
2025-12-12,Засоби телефонного зв’язку,152
2025-12-12,Засоби електронного зв’язку,2
2025-12-13,Засоби електронного зв’язку,1
2025-12-13,Засоби телефонного зв’язку,93
2025-12-14,Засоби електронного зв’язку,1
2025-12-14,Засоби телефонного зв’язку,52
2025-12-15,Засоби електронного зв’язку,1
2025-12-15,Засоби телефонного зв’язку,124
2025-12-16,Засоби електронного зв’язку,2
2025-12-16,Засоби телефонного зв’язку,132
2025-12-17,Засоби телефонного зв’язку,112
2025-12-17,Засоби електронного зв’язку,1
2025-12-18,Засоби електронного зв’язку,1
2025-12-18,Засоби телефонного зв’язку,105
2025-12-19,Засоби електронного зв’язку,2
2025-12-19,Засоби телефонного зв’язку,111
2025-12-20,Засоби електронного зв’язку,1
2025-12-20,Засоби телефонного зв’язку,55
2025-12-21,Засоби телефонного зв’язку,50
2025-12-22,Засоби телефонного зв’язку,97
2025-12-23,Засоби телефонного зв’язку,176
2025-12-23,Засоби електронного зв’язку,1
2025-12-24,Засоби телефонного зв’язку,168
2025-12-24,Засоби електронного зв’язку,3
2025-12-25,Засоби електронного зв’язку,2
2025-12-25,Засоби телефонного зв’язку,104
2025-12-26,Засоби телефонного зв’язку,116
2025-12-27,Засоби електронного зв’язку,1
2025-12-27,Засоби телефонного зв’язку,112
2025-12-28,Засоби електронного зв’язку,1
2025-12-28,Засоби телефонного зв’язку,136
2025-12-29,Засоби електронного зв’язку,1
2025-12-29,Засоби телефонного зв’язку,213
2025-12-30,Засоби телефонного зв’язку,153
2025-12-30,Засоби електронного зв’язку,1
2025-12-31,Засоби електронного зв’язку,1
2025-12-31,Засоби телефонного зв’язку,170
2026-01-01,Засоби телефонного зв’язку,98
2026-01-02,Засоби електронного зв’язку,1
2026-01-02,Засоби телефонного зв’язку,112
2026-01-03,Засоби електронного зв’язку,2
2026-01-03,Засоби телефонного зв’язку,72
2026-01-04,Засоби телефонного зв’язку,59
2026-01-05,Засоби телефонного зв’язку,137
2026-01-06,Засоби телефонного зв’язку,193
2026-01-06,Засоби електронного зв’язку,2
2026-01-07,Засоби телефонного зв’язку,149
2026-01-08,Засоби електронного зв’язку,7
2026-01-08,Засоби телефонного зв’язку,327
2026-01-09,Засоби електронного зв’язку,12
2026-01-09,Засоби телефонного зв’язку,182
2026-01-10,Засоби телефонного зв’язку,134
2026-01-11,Засоби електронного зв’язку,1
2026-01-11,Засоби телефонного зв’язку,99
2026-01-12,Засоби телефонного зв’язку,237
2026-01-12,Засоби електронного зв’язку,1
2026-01-13,Засоби електронного зв’язку,1
2026-01-13,Засоби телефонного зв’язку,187
2026-01-14,Засоби електронного зв’язку,2
2026-01-14,Засоби телефонного зв’язку,263
2026-01-15,Засоби електронного зв’язку,1
2026-01-15,Засоби телефонного зв’язку,250
2026-01-16,Засоби електронного зв’язку,4
2026-01-16,Засоби телефонного зв’язку,402
2026-01-17,Засоби телефонного зв’язку,271
2026-01-17,Засоби електронного зв’язку,3
2026-01-18,Засоби телефонного зв’язку,317
2026-01-18,Засоби електронного зв’язку,6
2026-01-19,Засоби електронного зв’язку,1
2026-01-19,Засоби телефонного зв’язку,308
2026-01-20,Засоби електронного зв’язку,6
2026-01-20,Засоби телефонного зв’язку,348
2026-01-21,Засоби електронного зв’язку,9
2026-01-21,Засоби телефонного зв’язку,234
2026-01-22,Засоби електронного зв’язку,1
2026-01-22,Засоби телефонного зв’язку,225
2026-01-23,Засоби телефонного зв’язку,281
2026-01-23,Засоби електронного зв’язку,1
2026-01-24,Засоби електронного зв’язку,4
2026-01-24,Засоби телефонного зв’язку,186
2026-01-25,Засоби електронного зв’язку,2
2026-01-25,Засоби телефонного зв’язку,217
